Rest/Ref,Age (yr),Date,Site Name,Area,HM or LM,Plot,PHAU,SPAL,SPPA,DISP,SOSE,IVFR,SADE,JUGE,ATPA,LICA,BAHA,SUMA,SPMA,SYSU,ALGAE,SYTE,CEOR,Total Cover,Unveg,WRK,GRB,Lit,CrabBur,Snail_COUNT ,Mussel_Count,SPAL Stem Count,Flower Cover,SPPA Stem Count,Flower Cover,DISP Stem Count,Flower Cover,JUGE Stem Count,Flower Cover,PHAU Stem Count,Flower Cover,LICA Stem Count,Flower Cover,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),SPAL_H_Avg,SPAL_D1(cm),SPAL_D2(cm),SPAL_D3(cm),SPAL_D4(cm),SPAL_D5 (cm),SPAL_D_Avg,Elevation ft,GraphName
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,11,0,62.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,37.5,0,0,8.75,2,0,5,28,0,0,0,0,0,0,0,0,0,0,0,16.5,13,51,22.5,31,26.8,6.6,2.49,5.3,4.5,4,4.578,2.481,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,12,0,37.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18.75,18.75,0,8.75,0,0,15,23,0,0,0,0,0,0,0,0,0,0,0,26.5,29,29,20.5,14.5,23.9,3.7,3.6,2.9,2.8,2.8,3.16,2.485,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,13,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,2.5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,45.5,21,79.5,28.5,14,37.7,3.5,1.5,4.9,2,2.2,2.82,2.435,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,14,0,62.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,37.5,0,2.5,8.75,0,0,15,43,0,0,0,0,0,0,0,0,0,0,0,11.5,22.5,14,24,16,17.6,6,3.5,4.5,3.4,3.5,4.18,2.563,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,15,0,62.5,8.75,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,73.75,18.75,0,0,0,0,0,10,53,0,0,0,0,0,0,0,0,0,0,0,65,20,65,24.5,29,40.7,7.7,3.5,8,5,5.4,5.92,2.45,Restored HM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,1,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,0,2.5,0,0,52,10,23,0,0,0,0,0,0,0,0,0,0,0,102,23.5,90.5,25,27,53.6,7.6,3.9,7.4,4.6,3,5.3,1.71,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,2,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,0,0,35,42,0,0,0,0,0,0,0,0,0,0,0,12,24.5,28,30.5,80.5,35.1,4.5,3.1,3.5,6.3,5.2,4.52,2.196,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,150,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.426,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,0,0,3,0,40,32,0,0,0,0,0,0,0,0,0,0,0,75,9.5,37.5,65,13,40,6,5,4.8,7.4,4.9,5.62,2.17,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,6,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,18.75,0,3,0,50,30,0,0,0,0,0,0,0,0,0,0,0,81,51,76,38,79,65,6.2,6.3,6.9,5,4.8,5.84,0.77,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,7,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,2.5,0,3,0,25,60,0,0,0,0,0,0,0,0,0,0,0,31,28,27.5,21.5,22.5,26.1,3.8,7,4.4,3.3,5.5,4.8,2.241,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,8,0,37.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,40,62.5,0,0,0,2,0,50,41,0,0,0,0,0,0,0,0,0,0,0,89,113.5,133,81,81,99.5,6,8,7.1,4.5,4,5.92,1.727,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,9,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,2.5,0,0,50,65,72,0,0,0,0,0,0,0,0,0,0,0,99,41,32.5,18,63.5,50.8,3.7,2.6,2,2.5,4.2,3,1.075,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,10,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,0.5,8.75,0,120,110,36,0,0,0,0,0,0,0,0,0,0,0,84.5,91.5,71,33.5,20,60.1,3.5,4.4,3,2.3,3,3.24,0.643,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,11,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,2.5,0,0,15,60,63,0,0,0,0,0,0,0,0,0,0,0,60.5,66,56,56,75,62.7,3.5,3.5,2.9,3,4,3.38,1.466,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,12,0,87.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,8.75,0,0,0,3,0,50,64,0,0,0,0,0,0,0,0,0,0,0,21,30.5,25.5,22.5,30,25.9,4.2,4,5,3.5,5.6,4.46,2.33,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,13,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,8.75,0,0,5,120,36,0,0,0,0,0,0,0,0,0,0,0,48.5,39.5,103.5,69.5,101.5,72.5,9.1,6.8,7.4,7.2,7.6,7.62,1.683,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,14,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,2,0,100,50,0,0,0,0,0,0,0,0,0,0,0,89,22,30,31,62,46.8,5.5,5.3,5.5,8.2,5.8,6.06,2.099,Restored LM
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,15,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,18.75,18.75,2.5,1,1,6,18,0,0,0,0,0,0,0,0,0,0,0,21,41,38,33.5,20.5,30.8,4,4,5,3.7,3.2,3.98,2.296,Restored LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,1,18.75,0.5,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,119.75,2.5,0,0.5,0,0,0,0,0,0,300,0,100,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.886,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,2,0,2.5,87.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,108.75,0,0,0,0,0,0,0,1,0,400,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0.8,6,0,0,0,0,1.2,3.045,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,3,0,8.75,62.5,37.5,0,0,0,0,0,0.5,0,0,0,0,0,2.5,0,111.45,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.952,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,4,0,0.5,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.066,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,5,0,18.75,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,118.75,2.5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,20.5,4,12.5,10.5,11.7,3.9,6.3,4.2,2.8,4.2,4.28,3.041,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,6,0,0.5,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5,0,0,0,0,0,0,0,0,0,800,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.151,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,7,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.142,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,8,0.5,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.077,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,9,0.5,0,62.5,37.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,101.5,0,0,0,0,0,0,0,0,0,850,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.106,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,10,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.5,0,0,0,0,0,0,850,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.088,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,11,0.5,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,850,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,12,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.5,0,0,0,0,0,0,850,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.196,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,13,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,850,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.294,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,14,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5,0,0,0,0,0,0,0,0,850,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,15,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,850,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.247,Reference HM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,1,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0.5,0,1,0,3,40,0,0,0,0,0,0,0,0,0,0,0,27,101,26.5,25.5,42.5,44.5,5.9,6.4,4.2,3.5,2.9,4.58,2.161,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,2,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,62.5,2.5,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,18,10,32,37,9.5,21.3,6.4,6,5.8,6.8,5.5,6.1,2.34,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,3,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,18.75,8.75,2.5,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,23.5,19,23.5,25,19,22,5.6,4.1,1.9,2.4,5.5,3.9,2.363,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,4,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,18.75,0,0,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,32.5,19,33,36,20.5,28.2,6.5,4.3,3.1,5.2,4.9,4.8,2.1,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,18.75,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,42,23,74,80,50.5,53.9,7.3,5.6,8.1,8.1,7.3,7.28,2.127,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,6,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0,0,0,0,90,65,45,0,0,0,0,0,0,0,0,0,0,0,66.5,58,42,52,35.5,50.8,6.7,10.5,5,7.2,3,6.48,0.562,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,7,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,62.5,0.5,0,0,5,0,20,21,0,0,0,0,0,0,0,0,0,0,0,91,46.5,45.5,35.5,27,49.1,7,6.5,4.9,4.6,5.9,5.78,1.817,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,8,2.5,62.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,37.5,0,0.5,0,2,0,5,27,0,0,0,0,0,0,0,3,0,0,0,94.5,13.5,23,19.5,43,38.7,5.8,4.2,4.5,5.8,5.2,5.1,2.133,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,9,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,5,2,20,48,0,0,0,0,0,0,0,0,0,0,0,149.5,48,131.5,111,45.5,97.1,7.3,4.4,6,4.1,5.5,5.46,1.25,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,10,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,2.5,0,0,6,2,10,58,0,0,0,0,0,0,0,0,0,0,0,72,48.5,71,49.5,44,57,8.5,4.6,6.6,8,5.1,6.56,1.35,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,11,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,78.5,48.5,27,27,21.5,40.5,6.4,8,7,3,6.4,6.16,2.112,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,12,0,62.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,65,37.5,0,0,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,17,25,14.5,12.5,20,17.8,7.5,5.2,3.9,2.4,4.6,4.72,2.729,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,13,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,3,0,3,62,0,0,0,0,0,0,0,0,0,0,0,88.5,103,41.5,42.5,75,70.1,4.3,6.1,6.6,7,4.5,5.7,2.418,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,14,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,31.5,32.5,32.5,19,22.5,27.6,3.2,2.8,4.8,2.8,4.4,3.6,2.585,Reference LM
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceLM,LM,15,0,37.5,37.5,8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,83.5,18.75,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,33,34,15.5,12,36,26.1,5.7,8.7,6.1,6.4,11,7.58,2.597,Reference LM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,1,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,8.75,0,2.5,18.75,0,5,0,102,0,0,0,0,0,0,0,0,0,0,0,51.5,55,75.5,38,23,48.6,6,5.1,6.9,3.9,6.5,5.68,2.284,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,2,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,2.5,87.5,8.75,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,14,18,14,11,5,12.4,2.5,3.5,2.8,4.5,4.1,3.48,2.059,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,3,0,87.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,88,18.75,0,0.5,0,1,0,2,115,0,0,0,0,0,0,0,0,0,0,0,72,16,54,27,26.5,39.1,7,4,5.4,6.1,6.7,5.84,2.275,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,4,0,62.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,65,37.5,0,8.75,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,15,15,48,9,14,20.2,4.9,3.6,4.5,3,6.8,4.56,2.423,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,5,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,18.75,18.75,0.5,0,6,0,31,54,0,0,0,0,0,0,0,0,0,0,0,25.5,28,25,32,21,26.3,2.2,3.2,2.7,2.6,3.3,2.8,2.177,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,6,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,2.5,8.75,3,0,18,45,0,0,0,0,0,0,0,0,0,0,0,26,38,23,41,86.5,42.9,6.2,5.4,6.3,10,6.9,6.96,2.079,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,7,0,62.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,65,37.5,0,0.5,0,0,1,56,36,0,0,0,0,0,0,0,0,0,0,0,30,27,33,25,32,29.4,9.5,6,5.1,7.5,6.4,6.9,2.338,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,8,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0.5,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.341,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,9,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,37.5,0,8.75,0,0,0,61,29,0,0,0,0,0,0,0,0,0,0,0,102.5,105.5,92,30,92.5,84.5,7,6.1,6.1,5.7,3.6,5.7,1.927,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,10,0,62.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,65,37.5,0,0,0,5,0,21,49,0,0,0,0,0,0,0,0,0,0,0,9,19,20,10,21,15.8,3.5,5.5,5.8,4,5.5,4.86,2.316,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,11,0,62.5,2.5,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,70,18.75,0,0,18.75,0,2,4,51,0,0,0,0,0,0,0,0,0,0,0,45,10,75,19,58.5,41.5,4.6,4,6.2,5.6,6.9,5.46,2.428,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,12,0,62.5,0,37.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,102.5,8.75,0,0,2.5,0,1,20,38,0,0,0,0,0,0,0,0,0,0,0,5,61,65,20,11,32.4,2.9,5.6,6,4.7,2.8,4.4,2.522,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,13,0,87.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,88,2.5,0,0,8.75,1,0,16,66,0,0,0,0,0,0,0,0,0,0,0,49.5,44,26,67.5,24.5,42.3,5.7,5.2,4.4,7.7,4.6,5.52,2.397,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,14,0,62.5,0,0,0,0,8.75,0,0,0,0,0,0,0,0,8.75,0,80,2.5,0,2.5,18.75,0,2,16,49,0,0,0,0,0,0,0,0,0,0,0,23,1,10,10,33,15.4,3.9,4,5,3.5,5.1,4.3,2.592,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredHM,HM,15,0,37.5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,8.75,0,0,18.75,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,24,14,58,19,20,27,6.5,4.5,9.9,7,5.5,6.68,2.563,Restored HM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredLM,LM,1,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,8.75,62.5,8.75,0,0,1,4,33,0,0,0,0,0,0,0,0,0,0,0,23,17,18,44,6,21.6,4.7,5,3.4,4.5,2.5,4.02,1.861,Restored LM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredLM,LM,2,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,18.75,0,0.5,8.75,0,3,40,47,0,0,0,0,0,0,0,0,0,0,0,56,55,34,53,30,45.6,6.2,7.6,8.1,4.8,4.6,6.26,2.29,Restored LM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredLM,LM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,8.75,0,0,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572,Restored LM
Restored,Pre22,9/7/2022,Idlewild,Pre22RestoredLM,LM,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0.5,0,0,701,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.578,Restored LM
