Date,Marsh,SiteID,Plot,AMCA,ATPA,DISP,IVFR,JUGE,PHAU,PLOD,SADE,SPAL,SOSE,SPPA,Total Cover,Crk,Dit,Fill,GRB,Lit,MUSSEL,CRAB,SNAIL,Pan,Pool,Unveg,WRK,1,2,3,4,5,Hmean,Initial,Hit 1,Hit 2,Hit 3,SV 10 cm (kpa),SV 55 cm (kpa),SPC,HM/LM,Elevation (NAVD88)
9/16/2014,Idlewild,JB1.1,11,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,0,,,0,0,18.75,18.75,86,70,80,NA,NA,78.67,4,6,7,10,8,16,SPAL,T,
9/16/2014,Idlewild,JB1.1,12,0,0,0,0,0,0,0,0,18.75,,37.5,56.25,0,0,0,2.5,2.5,0,,,0,0,8.75,37.5,62.5,62,59,NA,NA,61.17,2,5,7,9,4,10,SPAL,T,
9/16/2014,Idlewild,JB1.1,13,0,0,2.5,0,0,0,0,0,62.5,,0,65,0,0,0,0,18.75,0,,,0,0,18.75,8.75,71.5,64,62.5,NA,NA,66.00,4,12,15,18,8,4,SPAL,T,
9/16/2014,Idlewild,JB1.1,14,0,0,2.5,0,0,0,0,37.5,18.75,,0,58.75,0,0,0,0,2.5,0,,,0,0,62.5,0,57,42.5,34,NA,NA,44.50,3,6,9,11,10,14,SPAL,T,
9/16/2014,Idlewild,JB1.1,15,0,0,2.5,0,0,0,0,2.5,37.5,,0,42.5,0,0,0,0,8.75,0,,,0,0,37.5,18.75,78,81,68,NA,NA,75.67,2.5,4,5.5,7,12,14,SPAL,T,
9/16/2014,Idlewild,JB1.1,16,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,2.5,0,,,0,0,37.5,0,53,107,59,NA,NA,73.00,1,5,7,9,10,12,SPAL,T,
9/16/2014,Idlewild,JB1.1,17,0,0,0,0,0,0,0,0,87.5,,0,87.5,0,0,0,0,18.75,0,,,0,0,8.75,8.75,49,41,65,NA,NA,51.67,1.5,4,7,9,4,12,SPAL,T,
9/16/2014,Idlewild,JB1.1,18,0,0,2.5,0,0,0,0,0,62.5,,0,65,0,0,0,0,37.5,0,,,0,0,8.75,18.75,50,78,50,NA,NA,59.33,2,6.5,17,19,12,8,SPAL,L,
9/16/2014,Idlewild,JB1.1,19,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,2.5,0,,,0,62.5,0,8.75,78,70,59,NA,NA,69.00,1.5,4,5.5,7,0,0,SPAL,L,
9/16/2014,Idlewild,JB1.1,20,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,2.5,0,,,0,62.5,0,8.75,60,71,51,NA,NA,60.67,2,5.5,7,9,52,8,SPAL,L,
9/16/2014,Idlewild,JB1.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,10,11,12,16,SPAL,L,
9/16/2014,Idlewild,JB1.1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,24,33,38,0,6,SPAL,L,
9/16/2014,Idlewild,JB1.1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,12,14,12,2,SPAL,L,
9/16/2014,Idlewild,JB1.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,6,8.5,40,8,SPAL,L,
9/16/2014,Idlewild,JB1.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,4,6,8,12,SPAL,T,
9/16/2014,Idlewild,JB1.1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,8,12,15,34,10,SPAL,T,
9/16/2014,Idlewild,JB1.1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,24,29,23,24,20,SPAL,T,
9/16/2014,Idlewild,JB1.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,10,13,8,6,SPAL,T,
9/16/2014,Idlewild,JB1.1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29,32,34,10,8,SPAL,T,
9/16/2014,Idlewild,JB1.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,7,8,12,12,SPAL,T,
9/16/2014,Spring Creek,JB2,1,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,8.75,0,,,0,0,87.5,18.75,80.5,64.3,41.2,NA,NA,62.00,0.5,1,2,2,30,14,SPAL,T,
9/16/2014,Spring Creek,JB2,2,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,8.75,0,,,0,0,87.5,8.75,67.3,76,78.6,NA,NA,73.97,0.5,1.5,2,2,70,18,SPAL,T,
9/16/2014,Spring Creek,JB2,3,0,0,0,0,0,0,0,2.5,62.5,,0,65,0,0,0,0,8.75,18.75,,,0,0,62.5,8.75,66.5,43,50.5,NA,NA,53.33,0.5,1,1.5,2,20,20,SPAL,T,
9/16/2014,Spring Creek,JB2,4,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,2.5,,,0,0,18.75,18.75,73,70,70,NA,NA,71.00,0,2.5,3.5,5,26,0,SPAL,L,
9/16/2014,Spring Creek,JB2,5,0,0,2.5,0,0,0,0,0,87.5,,0,90,0,0,0,0,18.75,0,,,0,0,18.75,0,77.5,71,62.5,NA,NA,70.33,1,4,6,7,26,2,SPAL,L,
9/16/2014,Spring Creek,JB2,6,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,18.75,2.5,,,0,0,18.75,37.5,70,73,52,NA,NA,65.00,1,4,11,17,106,16,SPAL,L,
9/16/2014,Spring Creek,JB2,7,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,8.75,0,,,0,0,18.75,8.75,63.5,58.5,67.5,NA,NA,63.17,3,10,15,18,10,2,SPAL,L,
9/16/2014,Spring Creek,JB2,8,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,0,,,0,0,8.75,37.5,54.5,55,57.5,NA,NA,55.67,0.5,2,2,2.5,0,12,SPAL,LT,
9/16/2014,Spring Creek,JB2,9,0,0,18.75,0,0,0,0,0,62.5,,0,81.25,0,0,0,2.5,2.5,0,,,0,0,8.75,8.75,69,63,84,NA,NA,72.00,1,2,2.5,3,45,15,SPAL,T,
9/16/2014,Spring Creek,JB2,10,0,0,2.5,0,0,0,0,8.75,62.5,,0,73.75,0,0,0,0,8.75,18.75,,,0,0,8.75,0,62,64.5,72.5,NA,NA,66.33,2,4,6,7,16,10,SPAL,L,
9/16/2014,Spring Creek,JB2,11,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,0,18.75,37.5,,,0,0,62.5,0,108.5,102,83,NA,NA,97.83,2.5,8,11.5,14,8,8,SPAL,L,
9/16/2014,Spring Creek,JB2,12,0,0,37.5,0,0,0,0,0,87.5,,0,125,0,0,0,0,62.5,2.5,,,0,0,0,0,81.5,68,58,NA,NA,69.17,4,10,11,12,28,12,SPAL,T,
9/16/2014,Spring Creek,JB2,13,0,0,87.5,0,0,0,0,0,18.75,,0,106.25,0,0,0,0,2.5,0,,,0,0,8.75,0,74,60,58,NA,NA,64.00,0,1,2,2,26,10,SPAL,L,
9/16/2014,Spring Creek,JB2,14,0,0,37.5,0,0,0,0,0,37.5,,0,75,0,0,0,0,8.75,0,,,0,0,2.5,18.75,83.5,60,78.5,NA,NA,74.00,0.5,2,2.5,2.5,14,10,SPAL,T,
9/16/2014,Spring Creek,JB2,15,0,0,62.5,0,0,0,0,0,37.5,,8.75,108.75,0,0,0,0,37.5,8.75,,,0,0,2.5,0,71,73.5,68,NA,NA,70.83,0,0.5,0.5,1,32,14,SPAL,T,
9/16/2014,Spring Creek,JB2,16,0,0,37.5,0,0,0,0,0,37.5,,0,75,0,0,0,0,18.75,8.75,,,0,0,8.75,0,60.5,66,86,NA,NA,70.83,0,1,2,2.5,32,10,SPAL,T,
9/16/2014,Spring Creek,JB2,17,0,0,0,0,0,0,0,0,37.5,,0,37.5,87.5,0,0,0,37.5,37.5,,,0,0,0,0,89,80,78,NA,NA,82.33,8.5,18,20,25,52,12,SPAL,T,
9/16/2014,Spring Creek,JB2,18,0,0,0,0,0,0,0,0,87.5,,0,87.5,0,0,0,0,8.75,2.5,,,0,0,18.75,0,113,62,79.5,NA,NA,84.83,0.5,2.5,3,3.5,65,14,SPAL,L,
9/16/2014,Spring Creek,JB2,19,0,0,0,0,0,0,0,0,87.5,,0,87.5,0,0,0,0,8.75,0,,,0,0,8.75,0,86,96,79,NA,NA,87.00,2,4,5.5,7,30,10,SPAL,T,
9/16/2014,Spring Creek,JB2,20,0,0,0,0,0,0,0,0,18.75,,0,18.75,0,0,0,0,2.5,37.5,,,0,0,62.5,8.75,90,83,76,NA,NA,83.00,2,2,2.5,3,25,8,SPAL,T,
9/16/2014,Spring Creek,JB2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,2,2.5,22,12,SPAL,T,
9/16/2014,Spring Creek,JB2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,2.5,3,6,4,SPAL,L,
9/16/2014,Spring Creek,JB2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,20,23,14,0,SPAL,T,
9/16/2014,Spring Creek,JB2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3.5,4,18,4,SPAL,T,
9/16/2014,Spring Creek,JB2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.5,3,4,38,16,SPAL,T,
9/16/2014,Spring Creek,JB2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,4,5,12,5,SPAL,L,
9/16/2014,Spring Creek,JB2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.5,3,3,4,10,SPAL,L,
9/16/2014,Spring Creek,JB2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.5,4,5,34,5,SPAL,T,
9/16/2014,Spring Creek,JB2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,4.5,27,6,SPAL,T,
9/16/2014,Spring Creek,JB2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,11,16,23,26,6,SPAL,T,
9/16/2014,Saw Mill Creek,SI2.1,1,0,0,18.75,0,0,0,0,0,18.75,,18.75,56.25,0,18.75,0,0,2.5,,,,0,0,62.5,8.75,83.5,90.3,92,NA,NA,88.60,1,2,3,3.5,22,24,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,2,0,0,2.5,0,0,0,0,0,37.5,,2.5,42.5,0,8.75,0,0,2.5,,,,0,0,37.5,37.5,75.5,78.5,93,NA,NA,82.33,0,1,2,2,22,20,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,3,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,2.5,,,,0,0,62.5,18.75,76.5,53.5,54,NA,NA,61.33,1,2,3,4,44,16,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,4,0,0,87.5,0,0,0,0,0,8.75,,62.5,158.75,0,0,0,0,2.5,,,,0,0,0,0,115,100.5,89,NA,NA,101.50,1,2,3,4.5,36,16,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,5,0,0,2.5,0,0,0,0,0,62.5,,2.5,67.5,0,0,0,0,2.5,,,,0,0,37.5,18.75,85.5,98.5,83.5,NA,NA,89.17,2,3,3,3.5,54,16,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,6,0,0,18.75,0,0,0,0,0,62.5,,2.5,83.75,0,0,0,0,8.75,,,,0,0,62.5,0,82.5,63.5,68,NA,NA,71.33,2,4,4,4,6,4,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,7,0,0,18.75,0,0,0,0,0,62.5,,18.75,100,0,0,0,0,8.75,,,,0,0,37.5,0,90.5,72,89.5,NA,NA,84.00,0.5,2,2.5,2.5,30,24,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,8,0,0,18.75,0,0,0,0,0,37.5,,18.75,75,0,0,0,0,2.5,,,,0,0,62.5,0,48.5,68,72.5,NA,NA,63.00,2,2.5,2.5,3,78,12,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,9,0,0,37.5,0,0,0,0,0,37.5,,37.5,112.5,0,0,0,0,2.5,,,,0,0,18.75,0,74,65.5,119,NA,NA,86.17,1,3,4,4,42,28,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,10,0,0,37.5,0,0,0,0,0,18.72,,37.5,93.72,0,18.75,0,0,2.5,,,,0,0,2.5,0,86.5,81.5,117,NA,NA,95.00,8,11,13,15,10,8,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,11,0,0,37.5,0,0,0,0,0,18.75,,62.5,118.75,0,0,0,0,2.5,,,,0,0,2.5,0,77.5,101,72,NA,NA,83.50,4,7,9,10,10,10,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,12,0,0,0,0,0,0,0,0,87.5,,0,87.5,0,0,0,0,0,,,,0,0,18.75,18.75,114,108,84.5,NA,NA,102.17,1.5,2.5,2.5,3,22,14,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,13,0,2.5,8.75,0,0,0,0,0,18.75,,37.5,67.5,0,0,0,0,0,,,,0,0,37.5,18.75,99,103,106.5,NA,NA,102.83,2,4,4.5,5,56,16,SPAL,H,
9/16/2014,Saw Mill Creek,SI2.1,14,0,0,37.5,0,0,0,0,0,37.5,,37.5,112.5,0,0,0,0,18.75,,,,0,0,37.5,0,107.5,66,80.5,NA,NA,84.67,8.5,9,11.5,12,0,2,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,15,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,8.75,2.5,,,0,0,87.5,2.5,102.5,106.5,91,NA,NA,100.00,8,9,9,9.5,8,10,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,16,0,0,2.5,0,0,0,0,0,62.5,,2.5,67.5,0,0,0,0,2.5,,,,0,0,87.5,0,64,81.5,99,NA,NA,81.50,23,25,26,28,12,10,SPPA,L,
9/16/2014,Saw Mill Creek,SI2.1,17,0,0,18.75,0,0,0,0,0,18.75,,18.75,56.25,0,0,0,0,2.5,,,,0,0,18.75,37.5,62,94,90,NA,NA,82.00,16,20,23,24.5,28,8,SPAL,H,
9/16/2014,Saw Mill Creek,SI2.1,18,0,0,8.75,0,0,0,0,0,37.5,,0,46.25,0,0,0,0,8.75,,,,0,0,62.5,0,59.5,66.5,113,NA,NA,79.67,23,28,31,34,22,2,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,19,0,2.5,62.5,0,0,0,0,0,8.75,,62.5,136.25,0,0,0,0,2.5,,,,0,0,0,0,93,98.5,75.5,NA,NA,89.00,13.5,14.5,16.5,17,6,4,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,20,0,0,37.5,0,0,0,0,0,18.75,,37.5,93.75,0,37.5,0,0,8.75,,,,0,0,0,0,67.5,102,90.5,NA,NA,86.67,14,14.5,15,16,34,14,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,17,17.5,0,8,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,18,18,8,6,SPAL,H,
9/16/2014,Saw Mill Creek,SI2.1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,24,24,24.5,4,4,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,32,34,35,38,8,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,29,31,32,24,16,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,41,42,4,0,SPAL,L,
9/16/2014,Saw Mill Creek,SI2.1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,38,41,44,3,12,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,46.5,48,49.5,16,4,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,28,28.5,28.5,30,35,SPPA,H,
9/16/2014,Saw Mill Creek,SI2.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,37,38,38.5,72,22,SPPA,H,
9/16/2014,Udalls,BQ6,1,0,0,8.75,0,0,0,0,18.75,62.5,,0,90,0,0,0,0,8.75,0,,,0,0,37.5,0,62,57,45,NA,NA,54.67,3,5,6,7.5,64,12,SPPA,H,
9/16/2014,Udalls,BQ6,2,0,0,37.5,0,0,0,0,0,37.5,,0,75,0,0,0,0,18.75,0,,,0,0,37.5,0,129,175,122,NA,NA,142.00,2,3.5,5.5,7,40,3,SPAL,L,
9/16/2014,Udalls,BQ6,3,0,0,18.75,0,0,0,0,8.75,62.5,,0,90,0,0,0,0,8.75,0,,,0,0,18.75,0,44.5,45,48,NA,NA,45.83,0.5,2,3.5,4,48,4,SPAL,L,
9/16/2014,Udalls,BQ6,4,0,0,87.5,0,0,0,0,0,2.5,,87.5,177.5,0,0,0,0,2.5,0,,,0,0,2.5,0,75,36,31,NA,NA,47.33,1,4,5.5,6.5,16,12,SPPA,H,
9/16/2014,Udalls,BQ6,5,0,0,87.5,0,0,0,0,2.5,8.75,,62.5,161.25,0,0,0,0,2.5,0,,,0,0,2.5,0,101,87,138,NA,NA,108.67,1.5,3,5,6,20,0,SPAL,L,
9/16/2014,Udalls,BQ6,6,0,0,37.5,0,0,0,0,0,18.75,,0,56.25,0,0,0,0,18.75,0,,,0,18.75,37.5,0,86.5,73,131,NA,NA,96.83,1,2.5,4,5.5,47,5,SPAL,H,
9/16/2014,Udalls,BQ6,7,0,0,8.75,0,0,0,0,8.75,18.75,,0,36.25,0,0,0,0,18.75,0,,,0,62.5,8.75,0,32,48,36,NA,NA,38.67,0.5,3.5,5.5,7.5,8,0,SPAL,H,
9/16/2014,Udalls,BQ6,8,0,0,62.5,0,0,0,0,8.75,8.75,,0,80,0,0,0,0,2.5,0,,,0,0,37.5,0,58,47,59,NA,NA,54.67,1.5,2.5,3.5,4,36,2,SPAL,H,
9/16/2014,Udalls,BQ6,9,0,0,37.5,0,0,0,0,0,62.5,,0,100,0,0,0,0,18.75,0,,,0,0,18.75,0,61,81,65.5,NA,NA,69.17,0.5,2.5,3,3.5,95,14,SPPA,H,
9/16/2014,Udalls,BQ6,10,0,0,8.75,0,0,0,0,0,37.5,,0,46.25,0,0,0,0,37.5,0,,,0,18.75,8.75,0,49,64,41,NA,NA,51.33,0.5,2.5,3,3.5,50,6,SPPA,H,
9/16/2014,Udalls,BQ6,11,0,0,8.75,0,0,0,0,0,37.5,,0,46.25,0,0,0,0,37.5,0,,,0,0,18.75,0,63,73,69,NA,NA,68.33,0.5,1,1.5,2,36,16,SPAL,L,
9/16/2014,Udalls,BQ6,12,0,0,87.5,0,0,0,0,0,18.75,,0,106.25,0,0,0,0,8.75,0,,,0,0,0.5,0,100,57,37,NA,NA,64.67,0.5,1.5,2.5,3,22,2,SPPA,H,
9/16/2014,Udalls,BQ6,13,0,0,0,0,0,0,0,0,87.5,,0,87.5,0,0,0,0,18.75,0,,,0,0,8.75,0,62,65,58,NA,NA,61.67,0.5,1.5,2,2.5,50,0,SPAL,L,
9/16/2014,Udalls,BQ6,14,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,0,18.75,2.5,,,0,0,62.5,0,51,106,68,NA,NA,75.00,0.5,1,2,2.5,20,8,SPAL,L,
9/16/2014,Udalls,BQ6,15,0,0,62.5,0,0,0,0,0,18.75,,62.5,143.75,0,0,0,0,2.5,0.5,,,0,0,2.5,0,97,70,107,NA,NA,91.33,0,1.5,3,3.5,38,18,SPAL,L,
9/16/2014,Udalls,BQ6,16,0,0.5,2.5,0,0,0,0,0,62.5,,0,65.5,0,0,0,0,18.75,18.75,,,0,0,37.5,0,77,90,67,NA,NA,78.00,0.5,2,3.5,4.5,54,8,SPAL,L,
9/16/2014,Udalls,BQ6,17,0,0,62.5,0,0,0,0,2.5,37.5,,0,102.5,0,0,0,0,2.5,0.5,,,0,0,8.75,0,132,146,127,NA,NA,135.00,0.5,1,1.5,2,60,14,SPPA,H,
9/16/2014,Udalls,BQ6,18,0,0,62.5,0,0,0,0,8.75,18.75,,0,90,0,0,0,0,2.5,0,,,0,0,2.5,0,62,86,77,NA,NA,75.00,0,1,2,2.5,14,16,SPPA,H,
9/16/2014,Udalls,BQ6,19,0,0,0,0,0,0,0,62.5,8.75,,0,71.25,0,0,0,0,2.5,0,,,0,0,8.75,0,41,55,52,NA,NA,49.33,0.5,1,2,2.5,16,4,SPAL,L,
9/16/2014,Udalls,BQ6,20,0,0,62.5,0,0,0,0,18.75,18.75,,0,100,0,0,0,0,2.5,0,,,0,0,8.75,0,50,46,57,NA,NA,51.00,0.5,1.5,2,2.5,20,2,SPAL,H,
9/16/2014,Udalls,BQ6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3.5,5,6.5,74,3,SPAL,H,
9/16/2014,Udalls,BQ6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.5,4,5,47,8,SPAL,L,
9/16/2014,Udalls,BQ6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.5,2,3,33,6,SPAL,L,
9/16/2014,Udalls,BQ6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4,6,8,36,10,SPAL,L,
9/16/2014,Udalls,BQ6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.5,4,4.5,16,0,SPAL,L,
9/16/2014,Udalls,BQ6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.5,3.5,4,8,2,SPPA,H,
9/16/2014,Udalls,BQ6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1.5,2,18,15,SPPA,H,
9/16/2014,Udalls,BQ6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,6,32,10,SPPA,H,
9/16/2014,Udalls,BQ6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,1.5,2,38,0,SPAL,H,
9/16/2014,Udalls,BQ6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,2,2.5,36,12,SPPA,H,
9/25/2014,Hutch Outer,BQ1.1,1,0,0,18.75,0,0,0,0,2.5,37.5,,18.75,77.5,0,0,0,2.5,8.75,0,,,0,0,62.5,0,133,110.5,98,NA,NA,113.83,1,3,4,4.5,16,12,SPPA,H,
9/25/2014,Hutch Outer,BQ1.1,2,0,0,37.5,0,0,0,0,0,37.5,,18.75,93.75,0,0,0,2.5,2.5,0,,,0,0,62.5,0,101.5,91,111.5,NA,NA,101.33,1,8,12.5,15,14,24,SPAL,L,
9/25/2014,Hutch Outer,BQ1.1,3,0,0,8.75,0,0,0,0,0,37.5,,8.75,55,0,0,0,8.75,18.75,2.5,,,0,0,37.5,0,110,92.5,47,NA,NA,83.17,2,6,8.5,10,9,8,SPAL,L,
9/25/2014,Hutch Outer,BQ1.1,4,0,0,0,0,0,0,0,0,62.5,,0,62.5,0,0,0,8.75,8.75,0,,,0,0,37.5,18.75,85,84.5,99,NA,NA,89.50,0.1,4,4,4.5,16,2,SPAL,L,
9/25/2014,Hutch Outer,BQ1.1,5,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,8.75,2.5,8.75,,,0,0,87.5,0,84,90,76.5,NA,NA,83.50,0,2,3,3.5,40,14,SPPA,L,
9/25/2014,Hutch Outer,BQ1.1,6,0,0,0,0,0,0,0,0,37.5,,0,37.5,0,0,0,18.75,2.5,0,,,0,0,87.5,0,124.5,115,91.5,NA,NA,110.33,1,5,6.5,7.5,46,22,SPPA,H,
9/25/2014,Hutch Outer,BQ1.1,7,0,0,18.75,0,0,0,0,0,37.5,,18.75,75,0,0,0,2.5,0,0,,,0,0,87.5,0,93,86.5,108,NA,NA,95.83,2,5.5,6.5,7.5,29,10,SPPA,H,
9/25/2014,Hutch Outer,BQ1.1,8,0,0,18.75,0,0,2.5,0,0,37.5,,18.75,77.5,0,0,0,2.5,2.5,0,,,0,0,62.5,0,50,67,80,NA,NA,65.67,0.5,2,3,4,10,14,SPPA,H,
9/25/2014,Hutch Outer,BQ1.1,9,0,0,18.75,0,0,0,0,0,62.5,,0,81.25,0,0,0,2.5,2.5,2.5,,,0,0,62.5,0,70.5,55.5,64.5,NA,NA,63.50,1,3.5,5.5,7,55,26,SPPA,H,
