GISPlotID,Rest/Ref,Phase 1 Age (yr),Phase 2 Age (yr),Date,Site Name,Area,Plot,PHAU,SPAL,SPPA,DISP,SOSE,IVFR,SADE,JUGE,ALGAE,UNKNOWN,SEAWEED,Total Cover,Unveg,WRK,GRB,Lit,Mussel_Count,CrabBur,Snail_COUNT ,SPAL Stem Count,Flower Spp,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),Avg_SPAL_H,SPAL_D1(mm),SPAL_D2(mm),SPAL_D3(mm),SPAL_D4(mm),SPAL_D5 (mm),Avg_SPAL_D,SPPA Stem Count,DISP Stem Count,JUGE Stem Count,PHAU Stem Count,Elevation ft,GIS Plot ID,check,ForSummary,Notes
AlleyLS_27,Restored,Pre,Pre,11/6/2019,Alley LS,MF Restored,T5P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.935,,,,
AlleyLS_28,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T5P4,0,2.5,0,0,0,0,0,0,0,0,0,2.5,87.5,0,8.75,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273,,,,
AlleyLS_29,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T5P5,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.004,,,,
AlleyLS_30,Restored,Pre,Pre,11/6/2019,Alley LS,VE Restored,T5P6,0,87.5,0,0,0,0,0,0,0,0,0,87.5,8.75,0,0,0,93,3,0,50,SPAL,76,67,62,105,57,73.4,0.46,0.48,0.38,0.49,0.4,0.442,0,0,0,0,3.188,,,,
AlleyLS_31,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T1P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.873,,,,Oyster shells present
AlleyLS_32,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T1P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.267,,,,oyster shells present
AlleyLS_33,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T1P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,,,
AlleyLS_34,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T1P4,0,37.5,0,0,0,0,0,0,0,0,0,37.5,62.5,0,0,0,400,0,0,53,SPAL,103,110,111,118,116,111.6,0.53,0.48,0.39,0.53,0.64,0.514,0,0,0,0,0.282,,,,rocky
AlleyLS_35,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T1P5,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,1000,0,0,55,SPAL,115,76,98,125,120,106.8,0..55,0.3,0.52,0.48,0.5,0.45,0,0,0,0,1.02,,,,
AlleyLS_36,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T1P6,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,190,0,0,78,SPAL,78,105,66,111,103,92.6,0.41,0.46,0.43,0.61,0.51,0.484,0,0,0,0,2.058,,,,
AlleyLS_37,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T2P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.129,,,,Oyster shells present
AlleyLS_38,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T2P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.986,,,,Oyster shells present
AlleyLS_39,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T2P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.668,,,,
AlleyLS_40,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T2P4,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,,,,oyster shells present
AlleyLS_41,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T2P5,0,8.75,0,0,0,0,0,0,0,0,0,8.75,87.5,0,2.5,0,60,0,0,21,SPAL,59,49,93,95,55,70.2,0.53,0.38,0.52,0.64,0.57,0.528,0,0,0,0,0.501,,,,
AlleyLS_42,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T2P6,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,160,0,0,44,SPAL,131,78,96,110,40,91,0.59,0.46,0.39,0.46,0.44,0.468,0,0,0,0,1.739,,,,
AlleyLS_43,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T3P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.301,,,,
AlleyLS_44,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T3P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.972,,,,
AlleyLS_45,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T3P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058,,,,rocky
AlleyLS_46,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T3P4,0,18.75,0,0,0,0,0,0,0,0,18.75,37.5,62.5,0,0,0,75,0,0,31,SPAL,103,26,126,97,119,94.2,0.55,0.25,0.66,0.41,0.6,0.494,0,0,0,0,0.631,,,,
AlleyLS_47,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T3P5,0,18.75,0,0,0,0,0,0,0,0,0,18.75,87.5,0,0,0,35,0,1,19,SPAL,102,126,121,122,134,121,0.44,0.85,0.7,0.61,0.65,0.65,0,0,0,0,1.72,,,,
AlleyLS_48,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T3P6,0,18.75,0,0,0,0,0,0,0,0,0,18.75,62.5,0,8.75,8.75,4,0,0,19,SPAL,69,75,132,91,101,93.6,0.51,0.47,0.58,0.6,0.56,0.544,0,0,0,0,3.012,,,,partially on trail
AlleyLS_49,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T4P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.907,,,,oyster shells present
AlleyLS_50,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T4P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,,,,
AlleyLS_51,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T4P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501,,,,oysters present
AlleyLS_52,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T4P4,0,18.75,0,0,0,0,0,0,0,0,0,18.75,87.5,0,0,0,300,0,0,12,SPAL,41,126,49,5,118,67.8,0.35,0.8,0.46,0.25,0.71,0.514,0,0,0,0,1.308,,,,oyster shells present
AlleyLS_53,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T4P5,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,130,0,0,67,SPAL,118,109,127,43,101,99.6,0.58,0.49,0.87,0.38,0.38,0.54,0,0,0,0,2.677,,,,
AlleyLS_54,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T4P6,0,37.5,0,0,0,0,0,0,0,0,0,37.5,37.5,0,0,8.75,3,0,0,57,SPAL,74,51,57,78,29,57.8,0.55,0.4,0.39,0.38,0.25,0.394,0,0,0,0,3.399,,,,
AlleyLS_55,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T5P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.553,,,,oyster shells present
AlleyLS_56,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T5P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208,,,,
AlleyLS_57,Reference,Pre,Pre,11/6/2019,Alley LS,MF Reference,T5P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12,,,,oyster shells present
AlleyLS_58,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T5P4,0,18.75,0,0,0,0,0,0,0,0,0,18.75,62.5,0,0,0,80,0,0,3,SPAL,17,57,15,,,29.66666667,0.34,0.42,0.32,,,0.36,0,0,0,0,1.099,,,,
AlleyLS_59,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T5P5,0,18.75,0,0,0,0,0,0,0,0,0,18.75,87.5,0,2.5,0,70,0,0,58,SPAL,143,108,116,107,97,114.2,0.5,0.45,0.47,0.55,0.4,0.474,0,0,0,0,1.662,,,,
AlleyLS_60,Reference,Pre,Pre,11/6/2019,Alley LS,VE Reference,T5P6,18.75,8.75,0,0,0,0,0,0,0,0,0,27.5,37.5,37.5,0,0,10,0,0,0,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.247,,,,
AlleyLS_61,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC1P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.081,,,,
AlleyLS_62,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC1P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.209,,,,
AlleyLS_63,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC1P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.102,,,,
AlleyLS_64,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC2P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12,,,,
AlleyLS_65,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC2P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.026,,,,
AlleyLS_66,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC2P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.095,,,,
AlleyLS_67,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC3P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.044,,,,
AlleyLS_68,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC3P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.968,,,,
AlleyLS_69,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC3P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.955,,,,
AlleyLS_70,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC4P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.075,,,,
AlleyLS_71,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC4P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.102,,,,
AlleyLS_72,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC4P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.04,,,,
AlleyLS_73,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC5P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.96,,,,
AlleyLS_74,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC5P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.029,,,,
AlleyLS_75,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC5P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01,,,,
AlleyLS_76,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC6P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.124,,,,
AlleyLS_77,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC6P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.191,,,,
AlleyLS_78,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC6P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.169,,,,
AlleyLS_79,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC7P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.041,,,,
AlleyLS_80,Restored,Pre,Pre,11/20/2019,Alley LS,O.C. Restored,OC7P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.03,,,,
AlleyLS_81,Restored,Pre,Pre,11/21/2019,Alley LS,O.C. Restored,OC7P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07,,,,
AlleyLS_82,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T1P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16,,,,
AlleyLS_83,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T1P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,15,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.003,,,,
AlleyLS_84,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T1P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,15,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.805,,,,
AlleyLS_85,Restored,Pre(1),Pre,9/22/2020,Alley LS,VE Restored,T1P4,0,0.5,0,0,0,0,0,0,0,0,0,0.5,87.5,0,0,0,21,0,6,2,0,37.5,38.5,0,0,0,15.2,0.36,0.37,0,0,0,0.146,0,0,0,0,-1.363,,,,
AlleyLS_86,Restored,Pre(1),Pre,9/22/2020,Alley LS,VE Restored,T1P5,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0.5,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.356,,,,
AlleyLS_87,Restored,Pre(1),Pre,9/22/2020,Alley LS,VE Restored,T1P6,0,8.75,0,0,0,0,0,0,0,0,0,8.75,87.5,0,0,0,25,0,0,3,0,129,10,110,0,0,49.8,0.68,0.52,0.55,0,0,0.35,0,0,0,0,1.217,,,,
AlleyLS_88,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T2P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.019,,,,
AlleyLS_89,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T2P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.859,,,,
AlleyLS_90,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T2P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.772,,,,
AlleyLS_91,Restored,Pre(1),Pre,9/22/2020,Alley LS,VE Restored,T2P4,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,800,0,0,47,0,158.5,155,155,161.5,123,150.6,0.62,0.55,0.57,0.65,0.57,0.592,0,0,0,0,1.113,,,,
AlleyLS_92,Restored,Pre(1),Pre,9/22/2020,Alley LS,VE Restored,T2P5,0,62.5,0,0,0,0,0,0,0,0,0,62.5,37.5,0,0,0,0,0,0,45,0,111.5,108.5,52,111.5,107.5,98.2,0.51,0.57,0.22,0.55,0.51,0.472,0,0,0,0,1.915,,,,
AlleyLS_93,Restored,Pre(1),Pre,9/22/2020,Alley LS,VE Restored,T2P6,0,87.5,0,0,0,0,0,0,0,0,0,87.5,18.75,0,0,0,50,0,0,66,0,127,139.5,155,34.5,144.5,120.1,0.51,0.64,0.62,0.44,0.61,0.564,0,0,0,0,2.36,,,,
AlleyLS_94,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T3P1,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,2.5,0,1,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.006,,,,
AlleyLS_95,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T3P2,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.455,,,,
AlleyLS_96,Restored,Pre(1),Pre,9/22/2020,Alley LS,MF Restored,T3P3,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.745,,,,
