Rest/Ref,Age (yr),Date,Site Name,AreaName,Area,Plot,PHAU,SPAL,SPPA,DISP,SOSE,IVFR,SADE,JUGE,ATPA,LICA,BAHA,SUMA,SPMA,SYSU,SYTE,ALGAE,CEOR,Total Cover,Unveg,WRK,GRB,Lit,Mussel_Count,CrabBur,Snail_COUNT ,SPAL Stem Count,Flower Cover,SPPA Stem Count,Flower Cover,DISP Stem Count,Flower Cover,JUGE Stem Count,Flower Cover,PHAU Stem Count,Flower Cover,LICA Stem Count,Flower Cover,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),SPAL_H_Avg,SPAL_D1(cm),SPAL_D2(cm),SPAL_D3(cm),SPAL_D4(cm),SPAL_D5 (cm),SPAL_D_Avg,Elevation ft,GIS Plot ID,check
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,6,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,37.5,0,2.5,0,30,0,0,57,0,0,0,0,0,0,0,0,0,0,0,60,85.5,81.5,71,28.5,65.3,6.5,8,5.6,4,4,5.62,2.127,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,7,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,37.5,2.5,18.75,0,20,5,0,24,0,0,0,0,0,0,0,0,0,0,0,74.5,28.5,24,20.5,39,37.3,7.2,5,4.3,4,5.7,5.24,2.369,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,8,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,62.5,0,0,0,45,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.252,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,9,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,37.5,0,18.75,0,70,0,0,34,0,0,0,0,0,0,0,0,0,0,0,55.5,49,40,52,43,47.9,5.3,4.5,3.5,8,4.6,5.18,1.864,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,10,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,0,0,37.5,0,20,3,0,48,0,0,0,0,0,0,0,0,0,0,0,19,28,20.5,68,13,29.7,5.7,4,4.6,7.2,2.8,4.86,2.329,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,11,0,62.5,0.5,0.5,0,0,0,0,0,0,0,,,,0,0,0,63.5,37.5,0,0,8.75,5,2,0,28,0,0,0,0,0,0,0,0,0,0,0,16.5,13,51,22.5,31,26.8,6.6,2.49,5.3,4.5,4,4.578,2.481,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,12,0,37.5,0,2.5,0,0,0,0,0,0,0,,,,0,0,0,40,18.75,18.75,0,8.75,15,0,0,23,0,0,0,0,0,0,0,0,0,0,0,26.5,29,29,20.5,14.5,23.9,3.7,3.6,2.9,2.8,2.8,3.16,2.485,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,13,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,37.5,0,0,2.5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,45.5,21,79.5,28.5,14,37.7,3.5,1.5,4.9,2,2.2,2.82,2.435,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,14,0,62.5,0.5,0,0,0,0,0,0,0,0,,,,0,0,0,63,37.5,0,2.5,8.75,15,0,0,43,0,0,0,0,0,0,0,0,0,0,0,11.5,22.5,14,24,16,17.6,6,3.5,4.5,3.4,3.5,4.18,2.563,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredHM,HM,15,0,62.5,8.75,2.5,0,0,0,0,0,0,0,,,,0,0,0,73.75,18.75,0,0,0,10,0,0,53,0,0,0,0,0,0,0,0,0,0,0,65,20,65,24.5,29,40.7,7.7,3.5,8,5,5.4,5.92,2.45,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,1,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,37.5,0,2.5,0,10,0,52,23,0,0,0,0,0,0,0,0,0,0,0,102,23.5,90.5,25,27,53.6,7.6,3.9,7.4,4.6,3,5.3,1.71,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,2,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,37.5,0,0,0,35,0,0,42,0,0,0,0,0,0,0,0,0,0,0,12,24.5,28,30.5,80.5,35.1,4.5,3.1,3.5,6.3,5.2,4.52,2.196,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,3,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,87.5,0,0,0,3,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,4,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,87.5,0,0,0,7,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.426,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,5,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,62.5,0,0,0,40,3,0,32,0,0,0,0,0,0,0,0,0,0,0,75,9.5,37.5,65,13,40,6,5,4.8,7.4,4.9,5.62,2.17,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,6,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,62.5,0,18.75,0,50,3,0,30,0,0,0,0,0,0,0,0,0,0,0,81,51,76,38,79,65,6.2,6.3,6.9,5,4.8,5.84,0.77,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,7,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,37.5,0,2.5,0,25,3,0,60,0,0,0,0,0,0,0,0,0,0,0,31,28,27.5,21.5,22.5,26.1,3.8,7,4.4,3.3,5.5,4.8,2.241,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,8,0,37.5,0,0,0,0,2.5,0,0,0,0,,,,0,0,0,40,62.5,0,0,0,50,2,0,41,0,0,0,0,0,0,0,0,0,0,0,89,113.5,133,81,81,99.5,6,8,7.1,4.5,4,5.92,1.727,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,9,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,37.5,0,2.5,0,65,0,50,72,0,0,0,0,0,0,0,0,0,0,0,99,41,32.5,18,63.5,50.8,3.7,2.6,2,2.5,4.2,3,1.075,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,10,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,62.5,0,0.5,8.75,110,0,120,36,0,0,0,0,0,0,0,0,0,0,0,84.5,91.5,71,33.5,20,60.1,3.5,4.4,3,2.3,3,3.24,0.643,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,11,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,62.5,0,2.5,0,60,0,15,63,0,0,0,0,0,0,0,0,0,0,0,60.5,66,56,56,75,62.7,3.5,3.5,2.9,3,4,3.38,1.466,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,12,0,87.5,0.5,0,0,0,0,0,0,0,0,,,,0,0,0,88,8.75,0,0,0,50,3,0,64,0,0,0,0,0,0,0,0,0,0,0,21,30.5,25.5,22.5,30,25.9,4.2,4,5,3.5,5.6,4.46,2.33,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,13,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,62.5,0,8.75,0,120,0,5,36,0,0,0,0,0,0,0,0,0,0,0,48.5,39.5,103.5,69.5,101.5,72.5,9.1,6.8,7.4,7.2,7.6,7.62,1.683,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,14,0,62.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,62.5,37.5,0,0,0,100,2,0,50,0,0,0,0,0,0,0,0,0,0,0,89,22,30,31,62,46.8,5.5,5.3,5.5,8.2,5.8,6.06,2.099,,
Restored,Pre21,9/15/2021,Idlewild,Pre21RestoredLM,LM,15,0,37.5,0,0,0,0,0,0,0,0,0,,,,0,0,0,37.5,37.5,18.75,18.75,2.5,6,1,1,18,0,0,0,0,0,0,0,0,0,0,0,21,41,38,33.5,20.5,30.8,4,4,5,3.7,3.2,3.98,2.296,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,1,18.75,0.5,62.5,37.5,0,0,0,0,0,0,0,,,,0.5,0,0,119.75,2.5,0,0.5,0,0,0,0,0,0,300,0,100,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.886,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,2,0,2.5,87.5,18.75,0,0,0,0,0,0,0,,,,0,0,0,108.75,0,0,0,0,0,0,0,1,0,400,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0.8,6,0,0,0,0,1.2,3.045,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,3,0,8.75,62.5,37.5,0,0,0,0,0,0.5,0,,,,2.5,0,0,111.45,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.952,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,4,0,0.5,62.5,37.5,0,0,0,0,0,0,0,,,,0,0,0,100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.066,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,5,0,18.75,62.5,37.5,0,0,0,0,0,0,0,,,,2.5,0,0,118.75,2.5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,20.5,4,12.5,10.5,11.7,3.9,6.3,4.2,2.8,4.2,4.28,3.041,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,6,0,0.5,62.5,37.5,0,0,0,0,0,0,0,,,,0,0,0,100.5,0,0,0,0,0,0,0,0,0,800,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.151,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,7,0,0,62.5,37.5,0,0,0,0,0,0,0,,,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.142,,
Reference,Pre21,9/8/2021,Idlewild,Pre21ReferenceHM,HM,8,0.5,0,62.5,37.5,0,0,0,0,0,0,0,,,,0.5,0,0,100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.077,,
