Date,Waterbody,Site Name,Plot,AMCA,ATPA,DISP,IVFR,JUGE,PHAU,PLOD,SAEU,SPAL,SPPA,VegTotal,Crk,Dit,FILL,GRB,Lit,MUSSELS,Pan,Pool,Unveg,WRK,Mussel_Count,CrabBur,MEBI ,Mudflat_Snail,Oyster,Worms,Total Fauna,SPAL_H1 (cm),SPAL_H2 (cm),SPAL_H3 (cm),SPAL_H4 (cm),SPAL_H5 (cm),SPAL AvgH
8.13.2015,JB,Idlewild Creek,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,8.75,62.50,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,87.50,0.00,0.00,0.00,0.50,0.00,5,0,4,0,0,0,9,26,18,30,17,12,20.6
8.13.2015,JB,Idlewild Creek,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,37.50,2.50,48.75,0.00,0.00,0.00,0.00,62.50,0.00,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,37.50,0.00,24,3,0,19,0,0,46,50,92,95,41,36,62.8
8.13.2015,JB,Idlewild Creek,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,18.75,18.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,0.00,8.75,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30,0,0,40,0,0,70,47,57,49,39,37,45.8
8.13.2015,JB,Idlewild Creek,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,8.75,2.50,0.00,0.00,87.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,87.50,0.00,90.00,0.00,0.00,0.00,0.00,87.50,0.00,0.00,0.00,0.50,0.00,0.00,0,6,0,0,0,6,43,31,42,47,44,41.4
8.13.2015,JB,Idlewild Creek,10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,18.75,62.50,0.00,81.75,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,62.50,0.00,100.00,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,18.75,2.50,3,0,0,0,0,0,3,36,55,17,84,32,44.8
8.13.2015,JB,Idlewild Creek,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,0.00,37.50,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,62.50,0.00,71.25,0.00,0.00,0.00,0.00,8.75,37.50,0.00,0.00,62.50,0.00,78,0,0,0,0,0,78,67,49,103,74,78,74.2
8.13.2015,JB,Idlewild Creek,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,18.75,18.75,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,18.75,8.75,0.00,0.00,62.50,0.00,18,0,0,6,0,0,24,25,10,77,40,50,40.4
8.13.2015,JB,Idlewild Creek,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,87.50,0.00,96.25,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,17,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,62.50,8.75,73.75,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,37.50,0.00,2,0,6,0,0,0,8,24,14,20,14,17,17.8
8.13.2015,JB,Idlewild Creek,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,37.50,0.00,38.00,0.00,0.00,0.00,0.00,0.50,62.50,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,2.50,0.00,0.00,37.50,0.00,21,0,0,0,0,0,21,14,19,26,30,14,20.6
8.13.2015,JB,Idlewild Creek,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,2.50,0.50,0.00,0.00,18.75,18.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,18.75,0.00,3,0,0,0,0,0,3,27,38,20,23,19,25.4
8.13.2015,JB,Idlewild Creek,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,87.50,0.00,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,62.50,0.00,65.00,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,62.50,0.00,0.00,0,3,0,0,0,3,9,9,8,10,7,8.6
8.13.2015,JB,Idlewild Creek,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,25,0.00,0.00,18.75,0.00,0.00,0.00,0.00,8.75,62.50,0.00,90.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,37.50,0.00,0.00,0,4,0,0,0,4,24,57,15,36,14,29.2
8.13.2015,JB,Idlewild Creek,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,18.75,0.00,0.00,0.00,0.00,0.50,18.75,0.00,0.00,87.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,37.50,0.00,40.00,0.00,0.00,0.00,0.50,8.75,2.50,0.00,0.00,62.50,0.00,26,3,0,0,0,0,29,58,84,21,76,31,54
8.13.2015,JB,Idlewild Creek,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,18.75,37.50,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.13.2015,JB,Idlewild Creek,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,87.50,0.00,96.25,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,18.75,0.00,0.00,0,0,0,0,0,0,82,34,25,10,20,34.2
8.13.2015,JB,Idlewild Creek,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,37.50,0.00,46.25,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,37.50,0.50,0.00,0.00,62.50,0.00,13,3,3,0,0,0,19,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,62.50,18.75,0.00,0.00,18.75,0.00,NA,NA,NA,NA,NA,NA,0,46.0,27.0,44.0,55.0,38.0,42
8.14.2015,LIS,Pelham Bay Cove,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,18.75,0.00,0.00,0.00,0.00,87.50,2.50,0.00,0.00,18.75,0.00,4,2,1,0,0,0,7,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,0.00,0.00,0.00,0.00,18.75,8.75,0.00,0.00,62.50,2.50,NA,NA,NA,NA,NA,NA,0,90.0,90.0,88.0,57.0,61.0,77.2
8.14.2015,LIS,Pelham Bay Cove,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,87.50,0.00,0.00,0.00,0.00,8.75,8.75,0.00,0.00,37.50,0.00,45,3,0,0,0,0,48,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,6,0.00,0.00,18.75,0.00,0.00,0.00,0.00,0.00,18.75,18.75,56.25,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,18.75,0.00,NA,NA,NA,NA,NA,NA,0,15.0,13.0,15.0,18.0,21.0,16.4
8.14.2015,LIS,Pelham Bay Cove,7,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0,18,0,0,0,20,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,8,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,9,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0,0,9,0,0,0,9,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,100.0,76.0,127.0,96.0,82.0,96.2
8.14.2015,LIS,Pelham Bay Cove,11,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0,0,10,0,0,0,10,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,12,0.00,0.00,18.75,0.00,0.00,0.00,0.00,2.50,2.50,18.75,42.50,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,41.0,39.0,32.0,75.0,48.0,47
8.14.2015,LIS,Pelham Bay Cove,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,87.50,0.00,0.00,0.00,8.75,0.50,0.00,0.00,37.50,0.00,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,8.75,8.75,0.00,0.00,62.50,8.75,NA,NA,NA,NA,NA,NA,0,23.0,30.0,25.0,54.0,31.0,32.6
8.14.2015,LIS,Pelham Bay Cove,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,37.50,0.50,0.00,0.00,8.75,0.00,12,0,0,0,0,0,12,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,16,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,18.75,62.50,143.75,0.00,0.00,0.00,0.00,8.75,2.50,0.00,0.00,18.75,0.00,NA,NA,NA,NA,NA,NA,0,11.0,55.0,37.0,34.0,31.0,33.6
8.14.2015,LIS,Pelham Bay Cove,17,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,1,0,7,0,0,0,8,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,18,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,19,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,3,3,6,0,0,0,12,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,20,0.00,0.00,8.75,0.00,0.00,0.00,0.00,0.00,62.50,2.50,73.75,0.00,0.00,0.00,0.00,37.50,8.75,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,42.0,78.0,65.0,54.0,48.0,57.4
8.14.2015,LIS,Pelham Bay Cove,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,37.50,18.75,0.00,0.00,0.00,37.50,2.50,0.00,0.00,37.50,8.75,28,6,0,0,0,0,34,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,22,0.00,0.00,18.75,0.00,0.00,0.00,0.00,2.50,37.50,37.50,96.25,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,37.50,0.00,NA,NA,NA,NA,NA,NA,0,33.0,48.0,17.0,27.0,27.0,30.4
8.14.2015,LIS,Pelham Bay Cove,23,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.50,8.75,62.50,134.25,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,8.75,0.00,4,10,0,0,0,0,14,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,24,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,62.50,125.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,18.75,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,25,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.50,0.00,37.50,125.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,2.50,0.00,2,0,8,0,0,0,10,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,62.50,0.00,0.00,0.00,0.00,8.75,8.75,0.00,0.00,62.50,0.00,NA,NA,NA,NA,NA,NA,0,80.0,76.0,57.0,32.0,74.0,63.8
8.14.2015,LIS,Pelham Bay Cove,27,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6,5,0,0,0,11,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,28,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,87.50,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,29,0.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,18.75,37.50,93.75,0.00,0.00,0.00,0.00,8.75,0.00,0.00,0.00,18.75,0.00,0,4,1,0,0,0,5,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Pelham Bay Cove,30,0.00,0.00,18.75,0.00,0.00,0.00,0.00,0.00,18.75,62.50,100.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,8.75,0.00,NA,NA,NA,NA,NA,NA,0,11.0,19.0,17.0,15.0,11.0,14.6
8.14.2015,LIS,Hutch River,1,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,18.75,0.00,3,1,5,0,0,0,9,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Hutch River,2,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,62.50,125.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,18.75,0.00,4,2,5,0,0,0,11,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Hutch River,3,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,62.50,125.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,8.75,0.00,3,1,0,5,0,0,9,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Hutch River,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,2.50,21.25,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,8.75,37.50,33,2,4,0,0,0,39,26.0,11.0,15.0,18.0,14.0,16.8
8.14.2015,LIS,Hutch River,5,0.00,0.00,87.50,0.00,0.00,0.00,0.00,0.00,0.50,87.50,175.50,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,18.75,0.00,26,6,7,0,0,0,39,NA,NA,NA,NA,NA,NA
8.14.2015,LIS,Hutch River,6,0.00,0.00,62.50,0.00,0.00,0.00,0.00,0.00,8.75,37.50,108.75,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,8.75,18.75,7,1,0,0,0,0,8,86.0,16.0,61.0,46.0,29.0,47.6
